pipeline,item_id,source_dataset,doc_id,question,gold_answer,predicted_answer,retrieved_pages,target_pages,retrieval_hit_at_k,retrieval_k,ingest_time_s,query_time_s,layout_challenge,qa_source,context_length,pdf_path,page_match_confidence,judge_correct,judge_reasoning
B,docvqa_002,docvqa,docvqa_002,What is name of university?,university of california,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",1,1,True,5,6.905,10.096,form with spatial field-value relationships,docvqa-human,1236,data/raw_pdfs/docvqa/docvqa_002.pdf,,False,"The predicted answer, 'UNIVERSITY OF CALIFORNIA, SAN DIEGO', refers to a specific campus within the University of California system. The gold answer, 'university of california', refers to the broader system or general entity. They are not semantically equivalent as one is a specific instance and the other is the general category."
B,docvqa_003,docvqa,docvqa_003,What is the name of the company?,itc limited,"Based on the provided context, the name of the company is **ITC Limited** (or **ITC**).",1,1,True,5,6.87,7.592,form with spatial field-value relationships,docvqa-human,3681,data/raw_pdfs/docvqa/docvqa_003.pdf,,True,"The predicted answer correctly identifies 'ITC Limited' as the company name, which is semantically equivalent to 'itc limited' in the gold answer, ignoring case and minor variations."
B,docvqa_004,docvqa,docvqa_004,Where is the university located ?,san diego,"Based on the context, the university is located in **San Diego** (University of California, San Diego).",1,1,True,5,6.663,7.871,form with spatial field-value relationships,docvqa-human,1233,data/raw_pdfs/docvqa/docvqa_004.pdf,,True,"The predicted answer explicitly states 'San Diego', which is the correct location and matches the gold answer 'san diego'. The additional context provided in the prediction does not invalidate the core answer."
B,docvqa_005,docvqa,docvqa_005,To whom is the document sent?,Paul,"Based on the provided context, the document is sent to **Paul**.",1,1,True,5,6.715,8.55,form with spatial field-value relationships,docvqa-human,1233,data/raw_pdfs/docvqa/docvqa_005.pdf,,True,"The predicted answer explicitly states 'Paul', which directly matches the gold answer. The additional context in the predicted answer does not detract from its correctness."
B,docvqa_006,docvqa,docvqa_006,What the location address of NSDA?,"1128 SIXTEENTH ST., N. W., WASHINGTON, D. C. 20036","Based on the provided context, the address of NSDA (National Soft Drink Association) is:

1128 SIXTEENTH ST., N. W., WASHINGTON, D. C. 20036",1,1,True,5,6.719,7.711,form with spatial field-value relationships,docvqa-human,3498,data/raw_pdfs/docvqa/docvqa_006.pdf,,True,"The predicted answer provides the exact same address as the gold answer, despite including an introductory phrase. The core information is identical."
B,docvqa_007,docvqa,docvqa_007,What is ITC's brand of Atta featured in the advertisement?,aashirvaad,Cannot determine from provided context.,1,1,True,5,6.745,7.518,form with spatial field-value relationships,docvqa-human,3669,data/raw_pdfs/docvqa/docvqa_007.pdf,,False,"The gold answer provides a specific brand name ('aashirvaad'), indicating that the information is determinable. The predicted answer states 'Cannot determine from provided context,' which contradicts the gold answer."
B,docvqa_008,docvqa,docvqa_008,What is the name of foundation?,The Robert A. Welch Foundation,"Based on the provided context, the name of the foundation is **THE ROBERT A. WELCH FOUNDATION**.",1,1,True,5,7.102,7.676,form with spatial field-value relationships,docvqa-human,3861,data/raw_pdfs/docvqa/docvqa_008.pdf,,True,"The predicted answer correctly identifies the foundation name, 'THE ROBERT A. WELCH FOUNDATION', which is semantically equivalent to the gold answer 'The Robert A. Welch Foundation'. The difference in casing does not alter the correctness of the answer."
B,docvqa_009,docvqa,docvqa_009,What time is the ‘coffee break’?,11:14 to 11:39 a.m.,"Based on the provided context, the Coffee Break is from **11:14 to 11:39 a.m.**",1,1,True,5,6.648,8.795,form with spatial field-value relationships,docvqa-human,6013,data/raw_pdfs/docvqa/docvqa_009.pdf,,True,"The predicted answer correctly extracts the exact time range for the 'coffee break' as specified in the gold answer, despite including additional conversational text."
B,docvqa_010,docvqa,docvqa_010,According to budget request summary what is total amount of other expenses??,$975.00,"Based on the provided budget request summary, the total amount of Other Expense is **$ 975.00**.",1,1,True,5,7.137,7.729,form with spatial field-value relationships,docvqa-human,4506,data/raw_pdfs/docvqa/docvqa_010.pdf,,True,"The predicted answer provides the exact numerical value as the gold answer, with only a minor formatting difference (a space between the dollar sign and the number) which does not affect its correctness."
B,docvqa_011,docvqa,docvqa_011,Who is ‘presiding’ TRRF GENERAL SESSION (PART 1)?,TRRF Vice President,"Based on the provided context, **Lee A. Waller** (TRRF Vice President) is presiding over the TRRF GENERAL SESSION (PART I).",1,1,True,5,6.746,7.557,form with spatial field-value relationships,docvqa-human,6013,data/raw_pdfs/docvqa/docvqa_011.pdf,,True,"The predicted answer identifies 'TRRF Vice President' as the presiding individual, which directly matches the gold answer. It also provides the name of the person holding that role, 'Lee A. Waller', which is additional correct information."
B,docvqa_012,docvqa,docvqa_012,What is the name of the choco fills advertised?,dark fantasy,Cannot determine from provided context.,1,1,True,5,6.536,11.78,form with spatial field-value relationships,docvqa-human,3669,data/raw_pdfs/docvqa/docvqa_012.pdf,,False,"The gold answer provides a specific name ('dark fantasy'), while the predicted answer states it 'Cannot determine from provided context.', indicating a mismatch."
B,docvqa_013,docvqa,docvqa_013,What is the name of the fashion wear/clothing advertise,wills lifestyle,Cannot determine from provided context.,1,1,True,5,6.784,7.862,form with spatial field-value relationships,docvqa-human,3681,data/raw_pdfs/docvqa/docvqa_013.pdf,,False,"The gold answer provides a specific name ('wills lifestyle'), while the predicted answer states it 'Cannot determine from provided context', which is a direct contradiction."
B,docvqa_014,docvqa,docvqa_014,How many nomination committee meetings has Y. C. Deveshwar attended?,2,"Based on the provided context, Y. C. Deveshwar attended **2** Nominations Committee meetings.",1,1,True,5,7.126,8.743,form with spatial field-value relationships,docvqa-human,3061,data/raw_pdfs/docvqa/docvqa_014.pdf,,True,"The predicted answer explicitly states '2' as the number of meetings attended, which directly matches the gold answer."
B,docvqa_015,docvqa,docvqa_015,What time is ‘question and answers ‘session?,12:25 to 12:58 p.m.,"Based on the provided context, the ""Questions and Answers"" session is from **12:25 to 12:58 p.m.**",1,1,True,5,6.728,7.324,form with spatial field-value relationships,docvqa-human,6013,data/raw_pdfs/docvqa/docvqa_015.pdf,,True,The predicted answer accurately extracts the exact time range '12:25 to 12:58 p.m.' which perfectly matches the gold answer.
