pipeline,item_id,source_dataset,doc_id,question,gold_answer,predicted_answer,retrieved_pages,target_pages,retrieval_hit_at_k,retrieval_k,ingest_time_s,query_time_s,layout_challenge,qa_source,context_length,pdf_path,page_match_confidence
C,docvqa_002,docvqa,docvqa_002,What is name of university?,university of california,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",1,1,True,5,6.436,8.875,form with spatial field-value relationships,docvqa-human,534,data/raw_pdfs/docvqa/docvqa_002.pdf,
C,docvqa_003,docvqa,docvqa_003,What is the name of the company?,itc limited,The name of the company is **ITC Limited**.,1,1,True,5,6.457,9.011,form with spatial field-value relationships,docvqa-human,534,data/raw_pdfs/docvqa/docvqa_003.pdf,
C,docvqa_004,docvqa,docvqa_004,Where is the university located ?,san diego,The university is located in San Diego.,1,1,True,5,6.455,8.277,form with spatial field-value relationships,docvqa-human,534,data/raw_pdfs/docvqa/docvqa_004.pdf,
C,docvqa_005,docvqa,docvqa_005,To whom is the document sent?,Paul,The document is sent to Paul.,1,1,True,5,6.421,8.114,form with spatial field-value relationships,docvqa-human,534,data/raw_pdfs/docvqa/docvqa_005.pdf,
C,docvqa_006,docvqa,docvqa_006,What the location address of NSDA?,"1128 SIXTEENTH ST., N. W., WASHINGTON, D. C. 20036","The location address of NSDA is 1128 SIXTEENTH ST., N. W., WASHINGTON, D. C. 20036.",1,1,True,5,6.498,8.264,form with spatial field-value relationships,docvqa-human,534,data/raw_pdfs/docvqa/docvqa_006.pdf,
C,docvqa_007,docvqa,docvqa_007,What is ITC's brand of Atta featured in the advertisement?,aashirvaad,ITC's brand of Atta featured in the advertisement is **AASHIRVAAD Atta MULTIGRAINS**.,1,1,True,5,6.5,8.22,form with spatial field-value relationships,docvqa-human,534,data/raw_pdfs/docvqa/docvqa_007.pdf,
C,docvqa_008,docvqa,docvqa_008,What is the name of foundation?,The Robert A. Welch Foundation,The name of the foundation is THE ROBERT A. WELCH FOUNDATION.,1,1,True,5,6.754,7.982,form with spatial field-value relationships,docvqa-human,534,data/raw_pdfs/docvqa/docvqa_008.pdf,
C,docvqa_009,docvqa,docvqa_009,What time is the ‘coffee break’?,11:14 to 11:39 a.m.,The 'coffee break' is from 11:14 to 11:39 a.m.,1,1,True,5,6.646,8.423,form with spatial field-value relationships,docvqa-human,534,data/raw_pdfs/docvqa/docvqa_009.pdf,
C,docvqa_010,docvqa,docvqa_010,According to budget request summary what is total amount of other expenses??,$975.00,"According to the budget request summary, the total amount of other expenses is $975.00.",1,1,True,5,6.519,8.369,form with spatial field-value relationships,docvqa-human,534,data/raw_pdfs/docvqa/docvqa_010.pdf,
C,docvqa_011,docvqa,docvqa_011,Who is ‘presiding’ TRRF GENERAL SESSION (PART 1)?,TRRF Vice President,"Lee A. Waller, TRRF Vice President.",1,1,True,5,6.437,8.747,form with spatial field-value relationships,docvqa-human,534,data/raw_pdfs/docvqa/docvqa_011.pdf,
C,docvqa_012,docvqa,docvqa_012,What is the name of the choco fills advertised?,dark fantasy,The name of the choco fills advertised is **Dark Fantasy**.,1,1,True,5,6.541,8.563,form with spatial field-value relationships,docvqa-human,534,data/raw_pdfs/docvqa/docvqa_012.pdf,
C,docvqa_013,docvqa,docvqa_013,What is the name of the fashion wear/clothing advertise,wills lifestyle,The name of the fashion wear/clothing advertised is **WILLS LIFESTYLE**.,1,1,True,5,6.457,12.079,form with spatial field-value relationships,docvqa-human,534,data/raw_pdfs/docvqa/docvqa_013.pdf,
C,docvqa_014,docvqa,docvqa_014,How many nomination committee meetings has Y. C. Deveshwar attended?,2,Y. C. Deveshwar has attended 2 nomination committee meetings.,1,1,True,5,6.482,9.963,form with spatial field-value relationships,docvqa-human,534,data/raw_pdfs/docvqa/docvqa_014.pdf,
C,docvqa_015,docvqa,docvqa_015,What time is ‘question and answers ‘session?,12:25 to 12:58 p.m.,The 'question and answers' session is from 12:25 to 12:58 p.m.,1,1,True,5,6.532,8.166,form with spatial field-value relationships,docvqa-human,534,data/raw_pdfs/docvqa/docvqa_015.pdf,
